pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
50,c,2,2,10,2,,,,,81.29255489999196,82.29202039999655,82.29202039999655,82.29202039999655,82.29202039999655,82.32527430000482,83.30800590000581,83.30800590000581,c,1,0.2981512999976985,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,2,3,11,3,,,,,83.64085740002338,84.64010090002557,84.64010090002557,84.64010090002557,84.64010090002557,84.67307100002654,85.64485989999957,85.64485989999957,z,1,0.24893599998904392,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,3,0,12,0,,,,,85.93879340001149,86.93762749998132,86.93762749998132,86.93762749998132,86.93762749998132,86.97091849998105,87.93693000002531,87.93693000002531,x,1,0.3108426999533549,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,3,1,13,1,,,,,88.30256649997318,89.30209329997888,89.30209329997888,89.30209329997888,89.30209329997888,89.3353057000204,90.30126149998978,90.30126149998978,v,1,0.48304510000161827,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,3,2,14,2,,,,,90.83375619997969,91.83302540000295,91.83302540000295,91.83302540000295,91.83302540000295,91.86659039999358,92.83253860002151,92.83253860002151,c,1,0.4471874000155367,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,3,3,15,3,,,,,93.29994569998235,94.29889640002511,94.29889640002511,94.29889640002511,94.29889640002511,94.31578509998508,95.29872070002602,95.29872070002602,z,1,0.645358000008855,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,4,0,16,0,,,,,95.96395280002616,96.96290889999364,96.96290889999364,96.96290889999364,96.96290889999364,96.96290889999364,97.99360310001066,97.99360310001066,x,1,0.15823370002908632,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,4,1,17,1,,,,,98.18016789999092,99.19279180001467,99.19279180001467,99.19279180001467,99.19279180001467,99.19279180001467,100.20873170002596,100.20873170002596,v,1,0.473198699997738,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,4,2,18,2,,,,,100.72775349998847,101.72504859999754,101.72504859999754,101.72504859999754,101.72504859999754,101.74174929998117,102.75584860000527,102.75584860000527,x,0,0.4774832999682985,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,4,3,19,3,,,,,103.27540929999668,104.28781389998039,104.28781389998039,104.28781389998039,104.28781389998039,104.28781389998039,105.30379330000142,105.30379330000142,z,1,0.43876249995082617,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,5,0,20,0,,,,,105.78938480000943,106.80258040002082,106.80258040002082,106.80258040002082,106.80258040002082,106.80258040002082,107.80135530000553,107.80135530000553,x,1,0.6995776999974623,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,5,1,21,1,,,,,108.53383059997577,109.53346579999197,109.53346579999197,109.53346579999197,109.53346579999197,109.5663620000123,110.53237759997137,110.53237759997137,v,1,0.3131101000471972,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,5,2,22,2,,,,,110.88494419999188,111.89798000000883,111.89798000000883,111.89798000000883,111.89798000000883,111.89798000000883,112.89671350002754,112.89671350002754,c,1,0.3897137999883853,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,5,3,23,3,,,,,113.32914410001831,114.32878610002808,114.32878610002808,114.32878610002808,114.32878610002808,114.36210799997207,115.3280082999845,115.3280082999845,z,1,0.43594719999236986,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,6,0,24,0,,,,,115.8268888000166,116.82624169997871,116.82624169997871,116.82624169997871,116.82624169997871,116.85976690001553,117.82552030001534,117.82552030001534,x,1,0.3362525000120513,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,6,1,25,1,,,,,118.22452129999874,119.22412019997137,119.22412019997137,119.22412019997137,119.22412019997137,119.25728979997803,120.22285830002511,120.22285830002511,v,1,0.3260090000112541,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,6,2,26,2,,,,,120.58904310001526,121.58860229997663,121.58860229997663,121.58860229997663,121.58860229997663,121.62162809999427,122.5871490999707,122.5871490999707,c,1,0.4569956999621354,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,6,3,27,3,,,,,123.08686789998319,124.08672249998199,124.08672249998199,124.08672249998199,124.08672249998199,124.11983999999939,125.08535649999976,125.08535649999976,z,1,0.18165520002366975,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,7,0,28,0,,,,,125.31787590001477,126.31756850000238,126.31756850000238,126.31756850000238,126.31756850000238,126.35080239997478,127.33321720000822,127.33321720000822,x,1,0.5334624000242911,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,7,1,29,1,,,,,127.89883070002543,128.89832819998264,128.89832819998264,128.89832819998264,128.89832819998264,128.93164949998027,129.89795720000984,129.89795720000984,v,1,0.38376130000688136,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,7,2,30,2,,,,,130.32988169998862,131.32960499997716,131.32960499997716,131.32960499997716,131.32960499997716,131.3632833000156,132.3292915999773,132.3292915999773,c,1,0.6500205000047572,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,7,3,31,3,,,,,133.02819019998424,134.02694409998367,134.02694409998367,134.02694409998367,134.02694409998367,134.06012470001588,135.02634149999358,135.02634149999358,z,1,0.3620329999830574,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
