trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
132,0,132,0,559.883499099873,560.9021505999845,down,0,0.8043722002767026,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
133,0,133,0,561.7317925000098,562.7507997998036,up,1,0.7780920001678169,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
134,0,134,0,563.5468752000015,564.5657498999499,up,1,1.5885058001149446,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
135,0,135,0,566.1776699998882,567.1798888999037,down,0,1.0810358000453562,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
136,0,136,0,568.2928021999542,569.3121956998948,down,0,0.8876361001748592,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
137,0,137,0,570.1907485998236,571.1927364999428,down,0,0.6133379002567381,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
138,0,138,0,571.8223705999553,572.8242122998927,down,0,0.9015051000751555,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
139,0,139,0,573.7540249000303,574.7740648000035,down,1,0.8426811001263559,None,-5,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
140,0,140,0,575.6355908999685,576.6378462000284,down,1,0.6608448000624776,None,1,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
141,0,141,0,577.3172165998258,578.3194215998519,up,0,1.8125020002480596,None,-2,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
142,0,142,0,580.1479775998741,581.1502836998552,down,1,1.3332647001370788,None,3,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
143,0,143,0,582.5126038999297,583.5150062998291,down,1,0.6930840001441538,None,1,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
144,0,144,0,584.2440553000197,585.2464087000117,up,1,0.9963309001177549,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
145,0,145,0,586.2589738999959,587.2608394999988,down,1,0.9954825001768768,None,-4,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
146,0,146,0,588.2734804998618,589.2757232999429,up,1,1.2149648000486195,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
147,0,147,0,590.5048660999164,591.5072178998962,down,1,0.6177649002056569,None,1,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
148,0,148,0,592.1535449998919,593.1720473999158,down,0,2.2485518001485616,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
149,0,149,0,595.4167978998739,596.4357697998639,up,1,2.797840900020674,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
150,0,150,0,599.2138250998687,600.2155518999789,up,1,0.6689762000460178,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
151,0,151,0,600.9122176999226,601.9139737999067,up,1,0.8064982001669705,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
152,0,152,0,602.7437265999615,603.7455237999093,down,1,0.6838525000493973,None,-4,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
153,0,153,0,604.4586684999522,605.4778797999024,up,1,0.6940555002074689,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
154,0,154,0,606.1571177998558,607.1591783999465,up,0,0.7381249000318348,None,1,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
155,0,155,0,607.9220467000268,608.9242140999995,down,1,0.8216321999207139,None,-2,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
156,0,156,0,609.7704475999344,610.7724485998042,up,1,0.926115500042215,None,0,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
157,0,157,0,611.7350136998575,612.7538721999153,up,0,0.6388399002607912,None,-3,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
158,0,158,0,613.3837068998255,614.3862741999328,down,1,0.7483710001688451,None,-3,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
159,0,159,0,615.1656270998064,616.1845399998128,down,1,0.8340791002847254,None,-3,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
160,0,160,0,617.0138715999201,618.0153334999923,down,1,0.7448522001504898,None,4,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
161,0,161,0,618.7961446000263,619.8138828999363,up,0,0.9796334002166986,None,-2,200repsparticipant1,001,2023-09-08_11h31.42.466,SignalDetection,2023.1.3,60.20534839595617,
