num_Distr,color,mouse.time,,,,,,,,,,num_Distr,mouse.time
6,blue,3.1247476,,,,,,,,,,6,3.1247476
10,blue,1.6460295,,,,,,,,,,6,1.5287257
6,blue,1.5287257,,,,,,,,,,6,1.5493048
10,blue,1.8945085,,,,,,,,,,6,1.5780109
6,blue,1.5493048,,,,,,,,,,6,1.4487451
10,blue,1.4802905,,,,,,Participant 7,,,,6,1.5157822
6,blue,1.5780109,,,,,,Mean RT of Blue Target,1.53418052,,,6,1.2125578
10,blue,1.2126411,,,,,,Mean RT of Orange Target,1.679494896,,,6,1.5119546
6,blue,1.4487451,,,,,,,,,,6,1.0623763
10,blue,1.2137052,,,,,,,,,,6,1.4435223
6,blue,1.5157822,,,,,,Mean RT of set size 6,1.607290404,,,6,1.6619726
10,blue,1.3989935,,,,,,Mean RT of set size 10,1.606347287,,,6,1.678808
6,blue,1.2125578,,,,,,,,,,6,1.9423332
10,blue,1.5135659,,,,,,,,,,6,2.8898921
6,blue,1.5119546,,,,,,,,,,6,1.4947106
10,blue,1.0124725,,,,,,,,,,6,1.4451883
6,blue,1.0623763,,,,,,,,,,6,1.2786103
10,blue,1.3630146,,,,,,,,,,6,1.2166548
6,blue,1.4435223,,,,,,,,,,6,1.6961506
10,blue,1.0835854,,,,,,,,,,6,2.0995513
6,blue,1.6619726,,,,,,,,,,6,1.4636143
10,blue,2.1985733,,,,,,,,,,6,1.2960286
6,blue,1.678808,,,,,,,,,,6,1.5276931
10,blue,1.0782919,,,,,,,,,,6,1.0622927
6,blue,1.9423332,,,,,,,,,,6,1.4160735
6,orange,2.8898921,,,,,,,,,,6,1.6442492
10,orange,1.6628554,,,,,,,,,,10,1.6460295
6,orange,1.4947106,,,,,,,,,,10,1.8945085
10,orange,1.2457189,,,,,,,,,,10,1.4802905
6,orange,1.4451883,,,,,,,,,,10,1.2126411
10,orange,1.8326198,,,,,,,,,,10,1.2137052
6,orange,1.2786103,,,,,,,,,,10,1.3989935
10,orange,3.6171026,,,,,,,,,,10,1.5135659
6,orange,1.2166548,,,,,,,,,,10,1.0124725
10,orange,1.7627629,,,,,,,,,,10,1.3630146
6,orange,1.6961506,,,,,,,,,,10,1.0835854
10,orange,1.9465768,,,,,,,,,,10,2.1985733
6,orange,2.0995513,,,,,,,,,,10,1.0782919
10,orange,1.7269657,,,,,,,,,,10,1.6628554
6,orange,1.4636143,,,,,,,,,,10,1.2457189
10,orange,2.0459331,,,,,,,,,,10,1.8326198
6,orange,1.2960286,,,,,,,,,,10,3.6171026
10,orange,1.4620175,,,,,,,,,,10,1.7627629
6,orange,1.5276931,,,,,,,,,,10,1.9465768
10,orange,1.5290392,,,,,,,,,,10,1.7269657
6,orange,1.0622927,,,,,,,,,,10,2.0459331
10,orange,1.296013,,,,,,,,,,10,1.4620175
6,orange,1.4160735,,,,,,,,,,10,1.5290392
10,orange,1.3290581,,,,,,,,,,10,1.296013
6,orange,1.6442492,,,,,,,,,,10,1.3290581
